id,drug_id,food_name,severity,description,management_text,mechanism_flags,reference_text
244,DDInter1481,food,Moderate,"Bulk-forming laxatives such as guar gum, psyllium, polycarbophil, or methylcellulose may affect the bioavailability of concomitantly administered substances due to their effect on the rate of gastrointestinal transit and gastric emptying.","In general, oral medications should be administered at least 2 hours before or 2 hours after dosing of the bulk-forming laxative.",,
245,DDInter1479,alcohol,Moderate,Concomitant use of statin medication with substantial quantities of alcohol may increase the risk of hepatic injury.,Patients should be counseled to avoid substantial quantities of alcohol in combination with statin medications and clinicians should be aware of the increased risk for hepatotoxicity in these patients.,,
246,DDInter1492,grapefruit juice,Moderate,"Coadministration with grapefruit juice is likely to increase the plasma concentrations of ponatinib, which is primarily metabolized by CYP450 3A4.  However, the interaction has not been studied.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.","The consumption of grapefruit, grapefruit juice, and supplements that contain grapefruit extract should be avoided during treatment with ponatinib.",,
247,DDInter1494,high-fat foods,Moderate,"Food significantly increases the absorption of posaconazole from the oral suspension but only modestly from the delayed-release tablet.  Following single-dose administration, posaconazole mean peak plasma concentration (Cmax) and systemic exposure (AUC) are approximately 2.5 to 3 times higher when the oral suspension is given with a nonfat meal or a nutritional supplement (14 grams of fat) than when given under fasting conditions, and approximately 3.5 to 4 times higher when given during or 20 minutes after a high-fat meal (50 grams of fat) than under fasting conditions.  Acidic beverages may also increase posaconazole absorption.","Posaconazole tablets should be taken with food, whereas posaconazole oral suspension should be administered during or immediately (i.e., within 20 minutes) following a full meal to enhance bioavailability.  Patients who cannot eat a full meal should take the suspension with a liquid nutritional supplement or an acidic carbonated beverage such as ginger ale.  In patients who cannot eat a full meal or tolerate an oral nutritional supplement or an acidic carbonated beverage and who do not have the option of taking another formulation of posaconazole, alternative antifungal therapy should be considered; otherwise, monitor patients closely for breakthrough fungal infections.  Patients receiving posaconazole via a nasogastric tube should also be closely monitored due to increased risk of treatment failure associated with lower plasma exposure.  Administration of alcohol with posaconazole from the delayed-release oral suspension formulation is not recommended.",,
248,DDInter1494,cola,Moderate,"Food significantly increases the absorption of posaconazole from the oral suspension but only modestly from the delayed-release tablet.  Following single-dose administration, posaconazole mean peak plasma concentration (Cmax) and systemic exposure (AUC) are approximately 2.5 to 3 times higher when the oral suspension is given with a nonfat meal or a nutritional supplement (14 grams of fat) than when given under fasting conditions, and approximately 3.5 to 4 times higher when given during or 20 minutes after a high-fat meal (50 grams of fat) than under fasting conditions.  Acidic beverages may also increase posaconazole absorption.","Posaconazole tablets should be taken with food, whereas posaconazole oral suspension should be administered during or immediately (i.e., within 20 minutes) following a full meal to enhance bioavailability.  Patients who cannot eat a full meal should take the suspension with a liquid nutritional supplement or an acidic carbonated beverage such as ginger ale.  In patients who cannot eat a full meal or tolerate an oral nutritional supplement or an acidic carbonated beverage and who do not have the option of taking another formulation of posaconazole, alternative antifungal therapy should be considered; otherwise, monitor patients closely for breakthrough fungal infections.  Patients receiving posaconazole via a nasogastric tube should also be closely monitored due to increased risk of treatment failure associated with lower plasma exposure.  Administration of alcohol with posaconazole from the delayed-release oral suspension formulation is not recommended.",,
249,DDInter1504,high-fat foods,Major,"Food significantly increases the oral bioavailability of pralsetinib.  According to the product labeling, administration of pralsetinib with a high-fat meal (approximately 800 to 1000 calories; 50% to 60% from fat) increased mean pralsetinib peak plasma concentration (Cmax) and systemic exposure (AUC) by 104% and 122%, respectively.  The median time to maximum concentration (Tmax) was delayed from 4 to 8.5 hours.","Pralsetinib should be administered on an empty stomach, at least 2 hours after or 1 hour before a meal.  Patients should avoid consumption of high-fat foods during treatment with pralsetinib.",,
250,DDInter1504,grapefruit juice,Major,"Grapefruit juice may increase the plasma concentrations of pralsetinib. The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit. In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands. Certain preparations of grapefruit juice (e.g., high dose, double strength) have sometimes demonstrated potent inhibition of CYP450 3A4, while other preparations (e.g., low dose, single strength) have typically demonstrated moderate inhibition. Increased exposure to pralsetinib may increase the risk of adverse effects such as musculoskeletal toxicity, fatigue, constipation, hypertension, and pneumonia.","Pralsetinib should be administered on an empty stomach, at least 2 hours after or 1 hour before a meal.  Patients should avoid consumption of grapefruit or grapefruit juice during treatment with pralsetinib.",,
251,DDInter1505,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
252,DDInter1509,alcohol,Moderate,Concomitant use of statin medication with substantial quantities of alcohol may increase the risk of hepatic injury.,Patients should be counseled to avoid substantial quantities of alcohol in combination with statin medications and clinicians should be aware of the increased risk for hepatotoxicity in these patients.,,
253,DDInter1506,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
254,DDInter1510,high-fat foods,Moderate,"Administration with food increases the oral bioavailability of praziquantel.  The mechanism has not been described.  In nine healthy volunteers, administration of praziquantel (1800 mg single oral dose) following a high-fat meal increased the mean praziquantel peak plasma concentration (Cmax) and area under the concentration-time curve (AUC) by 243% and 180%, respectively, compared to administration under fasting conditions.","To ensure maximal oral absorption, praziquantel should be administered with meals.  Administration with grapefruit juice may further increase pharmacologic effects of praziquantel, including adverse effects such dizziness, abdominal discomfort, and nausea.",,
255,DDInter1510,grapefruit juice,Moderate,"Administration with food increases the oral bioavailability of praziquantel.  The mechanism has not been described.  In nine healthy volunteers, administration of praziquantel (1800 mg single oral dose) following a high-fat meal increased the mean praziquantel peak plasma concentration (Cmax) and area under the concentration-time curve (AUC) by 243% and 180%, respectively, compared to administration under fasting conditions.","To ensure maximal oral absorption, praziquantel should be administered with meals.  Administration with grapefruit juice may further increase pharmacologic effects of praziquantel, including adverse effects such dizziness, abdominal discomfort, and nausea.",,
256,DDInter1526,Tyrosine-rich foods,Major,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase inhibitors (MAOIs).  The mechanism is inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.","In general, patients treated with MAOIs or other agents that possess MAOI activity (e.g., furazolidone, linezolid, procarbazine) should avoid consumption of products that contain large amounts of amines and protein foods in which aging or breakdown of protein is used to increase flavor.  These foods include cheese (particularly strong, aged or processed cheeses), sour cream, wine (particularly red wine), champagne, beer, pickled herring, anchovies, caviar, shrimp paste, liver (particularly chicken liver), dry sausage, salamis, figs, raisins, bananas, avocados, chocolate, soy sauce, bean curd, sauerkraut, yogurt, papaya products, meat tenderizers, fava bean pods, protein extracts, yeast extracts, and dietary supplements.  Caffeine may also precipitate hypertensive crisis so its intake should be minimized as well.  At least 14 days should elapse following discontinuation of MAOI therapy before these foods may be consumed.  Specially designed reference materials and dietary consultation are recommended so that an appropriate and safe diet can be planned.  Patients should be advised to promptly seek medical attention if they experience potential signs and symptoms of a hypertensive crisis such as severe headache, visual disturbances, difficulty thinking, stupor or coma, seizures, chest pain, unexplained nausea or vomiting, and stroke-like symptoms.  Patients should also be counseled not to use MAOIs with alcohol, and to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them.",,
257,DDInter1521,alcohol,Major,"Concurrent acute use of barbiturates and ethanol may result in additive CNS effects,  including impaired coordination, sedation, and death.  Tolerance of these agents may occur with chronic use.  The mechanism is related to inhibition of microsomal enzymes acutely and induction of hepatic microsomal enzymes chronically.",The combination of ethanol and barbiturates should be avoided.,,
258,DDInter1517,high-fat foods,Moderate,"Food enhances the oral bioavailability of pretomanid.  The mechanism has not been reported.  Compared with the fasted state, oral administration of pretomanid with a high-fat, high-calorie meal (approximately 150, 250, and 500 to 600 calories from protein, carbohydrate, and fat, respectively) increased mean systemic exposure (AUC) and peak plasma concentration (Cmax) of pretomanid by 88% and 76%, respectively.","To ensure maximal oral absorption, pretomanid should be administered with food.  Tablets should be swallowed whole.",,
259,DDInter1511,alcohol,Moderate,The concurrent use of ethanol and alpha-1 adrenergic blockers may cause increased hypotensive effects.  Patients with aldehyde dehydrogenase deficiencies (primarily Asians) may be at a higher risk of this interaction.,Patients who develop  a flushing reaction after ethanol ingestion (indicates a possible aldehyde dehydrogenase deficiency) should be advised to avoid ethanol or limit their intake.  All patients should be warned about the possibility of orthostatic hypotension with concurrent ethanol use.,,
260,DDInter1524,alcohol,Minor,"Ethanol may increase the acetylation of procainamide.  Subtherapeutic plasma levels of procainamide may result in some patients.  Because the acetylated metabolite of procainamide also possesses antiarrhythmic properties, the clinical effects are unclear.","To ensure the therapeutic effect of Procainamide, we do not recommend that patients consume alcohol while on the medication.",,
261,DDInter1516,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
262,DDInter1528,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect them.,,
263,DDInter1529,grapefruit juice,Moderate,Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP450 3A4.  Grapefruit and grapefruit juice should be avoided if an interaction is suspected.  Orange juice is not expected to interact with these drugs.,,
264,DDInter1535,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect them.,,
265,DDInter1533,alcohol,Moderate,"Concurrent use of ethanol and phenothiazines may result in additive CNS depression and psychomotor impairment.  Also, ethanol may precipitate dystonic reactions in patients who are taking phenothiazines.  The two drugs probably act on different sites in the brain, although the exact mechanism of the interaction is not known.",Patients should be advised to avoid alcohol during phenothiazine therapy.,,
266,DDInter154,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
267,DDInter1538,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
268,DDInter1539,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
269,DDInter1539,food,Moderate,The bioavailability of propranolol may be enhanced by food.,"Patients may be instructed to take propranolol at the same time each day, preferably with or immediately following meals.",,
270,DDInter1543,alcohol,Moderate,"Concomitant use of ethanol and a tricyclic antidepressant (TCA) may result altered TCA plasma levels and efficacy, and additive impairment of motor skills, especially driving skills.  Acute ethanol ingestion may inhibit TCA metabolism, while chronic ingestion of large amounts of ethanol may induce hepatic TCA metabolism.",Patients should be advised to avoid alcohol during TCA therapy.  Alcoholics who have undergone detoxification should be monitored for decreased TCA efficacy.  Dosage adjustments may be required.,,
271,DDInter1527,alcohol,Moderate,"Concurrent use of ethanol and phenothiazines may result in additive CNS depression and psychomotor impairment.  Also, ethanol may precipitate dystonic reactions in patients who are taking phenothiazines.",Patients should be advised to avoid alcohol during phenothiazine therapy.,,
272,DDInter1553,alcohol,Minor,Quetiapine has been reported to potentiate the cognitive and motor effects of alcohol.,Alcohol should be avoided by patients who are receiving quetiapine.,,
273,DDInter1556,grapefruit juice,Moderate,"In a small, randomized, crossover study, the administration of quinidine with grapefruit juice (compared to water) to healthy volunteers significantly prolonged the time to reach peak plasma quinidine concentrations and decreased the plasma concentrations of its major metabolite, 3-hydroxyquinidine.  These changes were associated pharmacodynamically with both a delay and a reduction in the maximal effect on QTc interval.  The proposed mechanism is delay of gastric emptying as well as inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall induced by certain compounds present in grapefruits.","Given the drug's narrow therapeutic index, patients receiving quinidine therapy should avoid the consumption of grapefruits and grapefruit juice to prevent any undue fluctuations in plasma drug levels.",,
274,DDInter156,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
275,DDInter1552,alcohol,Moderate,Acute alcohol ingestion may potentiate the CNS depression and other CNS effects of many benzodiazepines.  Tolerance may develop with chronic ethanol use.  The mechanism may be decreased clearance of the benzodiazepines because of CYP450 hepatic enzyme inhibition.,Patients should be advised to avoid alcohol during benzodiazepine therapy.  Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP450 3A4.  Grapefruit and grapefruit juice should be avoided if an interaction is suspected.  Orange juice is not expected to interact with these drugs.,,
276,DDInter1557,food,Minor,"Coadministration with grapefruit juice does not appear to affect the pharmacokinetics of quinine in a clinically relevant manner.  Although grapefruit juice is an inhibitor of CYP450 3A4 and quinine is metabolized by this pathway to its major metabolite, 3-hydroxyquinine, a study of ten healthy volunteers found no significant differences in quinine peak plasma concentration (Cmax), time to reach Cmax (Tmax), terminal elimination half-life, systemic exposure (AUC), or apparent oral clearance (Cl/F) when a single 600 mg oral dose of quinine sulfate was administered in combination with 200 mL of orange juice (control), half-strength grapefruit juice, and full-strength grapefruit juice twice daily for 6 days each, separated by a 2-week washout period.  Relative to the control period, the apparent renal clearance of quinine was markedly increased by 81% during treatment with half-strength grapefruit juice.  However, since renal clearance accounts for approximately 6% of the total clearance of quinine, this change would likely have minimal clinical impact.  The lack of a significant interaction is probably due to the fact that grapefruit juice primarily inhibits intestinal rather than hepatic CYP450 3A4, and quinine is not known to undergo significant presystemic metabolism as evidenced by its relatively high oral bioavailability (76% to 88%).  Nevertheless, excessive consumption of grapefruit juice and tonic water (which contains quinine) was suspected as the cause of torsade de pointes arrhythmia in a patient with a history of asymptomatic long QT syndrome.  Treatment with magnesium sulfate and metoprolol had no effect, but the arrhythmia resolved spontaneously 48 hours after discontinuation of the drinks.","Based on current data, moderate grapefruit juice consumption is probably safe for the majority of patients taking quinine.",,
277,DDInter1564,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of ramelteon.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving ramelteon should be advised to avoid the consumption of alcohol.  For faster sleep onset, ramelteon should not be administered with or immediately after a high-fat/heavy meal.",,
278,DDInter1554,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
279,DDInter1554,Food High in Potassium,Moderate,"Moderate-to-high dietary intake of potassium can cause hyperkalemia in some patients who are using angiotensin converting enzyme (ACE) inhibitors.  In some cases, affected patients were using a potassium-rich salt substitute.  ACE inhibitors can promote hyperkalemia through inhibition of the renin-aldosterone-angiotensin (RAA) system.",It is recommended that patients who are taking ACE inhibitors be advised to avoid moderately high or high potassium dietary intake.  Particular attention should be paid to the potassium content of salt substitutes.,,
280,DDInter1565,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
281,DDInter1565,Food High in Potassium,Moderate,"Moderate-to-high dietary intake of potassium can cause hyperkalemia in some patients who are using angiotensin converting enzyme (ACE) inhibitors.  In some cases, affected patients were using a potassium-rich salt substitute.  ACE inhibitors can promote hyperkalemia through inhibition of the renin-aldosterone-angiotensin (RAA) system.",It is recommended that patients who are taking ACE inhibitors be advised to avoid moderately high or high potassium dietary intake.  Particular attention should be paid to the potassium content of salt substitutes.,,
282,DDInter1570,grapefruit juice,Major,"Grapefruit and grapefruit juice may significantly increase the plasma concentrations of orally administered ranolazine.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Because ranolazine prolongs QT interval in a dose-dependent manner, high plasma levels of ranolazine may increase the risk of ventricular arrhythmias such as ventricular tachycardia, ventricular fibrillation, and torsade de pointes.","Patients treated with ranolazine should avoid consumption of grapefruit juice and other grapefruit products if possible.  Otherwise, the dosage of ranolazine should be limited to 500 mg twice a day.",,
283,DDInter1572,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of central nervous system (CNS)-active agents.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potentially hazardous activities requiring mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
284,DDInter1572,Tyrosine-rich foods,Moderate,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase (MAO) inhibitors.  The mechanism involves inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.","Dietary restriction is not ordinarily required during rasagiline treatment with respect to most foods and beverages that may contain tyramine such as air-dried and fermented meats or fish, aged cheeses, most soybean products, yeast extracts, red wine, beer, and sauerkraut.  However, certain foods like some of the aged cheeses (e.g., Boursault, Liederkrantz, Mycella, Stilton) may contain very high amounts of tyramine and could potentially cause a hypertensive reaction in patients taking rasagiline even at recommended dosages due to increased sensitivity to tyramine.  Patients should be advised to avoid ingesting very high levels of tyramine (e.g., greater than 150 mg), and to promptly seek medical attention if they experience potential signs and symptoms of a hypertensive crisis such as severe headache, visual disturbances, confusion, stupor or coma, seizures, chest pain, unexplained nausea or vomiting, and stroke-like symptoms.  Rasagiline should not be used at dosages exceeding 1 mg/day (0.5 mg/day for patients with mild hepatic impairment or concomitant use of ciprofloxacin or other CYP450 1A2 inhibitors), as it can increase the risk of hypertensive crisis and other adverse reactions associated with nonselective inhibition of MAO.  Rasagiline can be administered with or without food.",,
285,DDInter1576,high-fat foods,Moderate,"Depending on the amount of fat, food may enhance the oral bioavailability of both regorafenib and its active metabolites, M-2 and M-5.","To ensure optimal oral absorption, regorafenib should be administered with a low-fat breakfast that contains less than 30% fat.  Examples of a low-fat breakfast include:  2 slices of white toast with 1 tablespoon of low-fat margarine and 1 tablespoon of jelly, plus 8 ounces of skim milk (319 calories; 8.2 g fat); or 1 cup of cereal, 8 ounces of skim milk, 1 slice of toast with jam, apple juice, and 1 cup of coffee or tea (520 calories; 2 g fat).  Patients should be advised to avoid consuming grapefruit or grapefruit juice during treatment with regorafenib.",,
286,DDInter1576,grapefruit juice,Moderate,"Depending on the amount of fat, food may enhance the oral bioavailability of both regorafenib and its active metabolites, M-2 and M-5.","To ensure optimal oral absorption, regorafenib should be administered with a low-fat breakfast that contains less than 30% fat.  Examples of a low-fat breakfast include:  2 slices of white toast with 1 tablespoon of low-fat margarine and 1 tablespoon of jelly, plus 8 ounces of skim milk (319 calories; 8.2 g fat); or 1 cup of cereal, 8 ounces of skim milk, 1 slice of toast with jam, apple juice, and 1 cup of coffee or tea (520 calories; 2 g fat).  Patients should be advised to avoid consuming grapefruit or grapefruit juice during treatment with regorafenib.",,
287,DDInter1578,alcohol,Moderate,Concomitant use of remdesivir with other agents that are known to induce hepatotoxicity may theoretically increase the risk of liver injury.  Data from investigational use and clinical studies suggest that remdesivir may be associated with hepatotoxic effects.,"Until more information is available, concomitant use of remdesivir with known hepatotoxic drugs should be avoided when possible.  Liver function should be evaluated prior to starting remdesivir and monitored during treatment as clinically appropriate.  Remdesivir should not be initiated in patients with ALT greater than or equal to 5 times the upper limit of normal (ULN) at baseline.  Likewise, remdesivir should be discontinued immediately if ALT increases to 5 times ULN or greater during treatment (may be restarted when ALT falls below 5 times ULN), or if ALT elevation is accompanied by signs or symptoms of liver inflammation or increasing conjugated bilirubin, alkaline phosphatase, or INR.",,
288,DDInter1575,coffee,Moderate,"Caffeine and other xanthine derivatives are nonspecific, competitive antagonists of adenosine receptors.  As such, they may interfere with the vasodilating effect of regadenoson, an adenosine receptor agonist.",Patients should avoid consumption of caffeine-containing products for at least 12 hours prior to administration of regadenoson for myocardial perfusion imaging.,,
289,DDInter1579,alcohol,Moderate,"Ethanol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.",Concomitant use of opioid analgesics with ethanol should be avoided.,,
290,DDInter1580,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
291,DDInter1582,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
292,DDInter1581,alcohol,Moderate,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled diabetes should limit their alcohol intake to one drink daily for women and two drinks daily for men (1 drink = 5 oz wine, 12 oz beer, or 1.5 oz distilled spirits) in conjunction with their normal meal plan.  Alcohol should not be consumed on an empty stomach or following exercise.",,
293,DDInter1581,grapefruit juice,Moderate,Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP450 3A4.  Grapefruit and grapefruit juice should be avoided if an interaction is suspected.  Orange juice is not expected to interact with these drugs.,,
294,DDInter1587,high-fat foods,Moderate,Food enhances the oral absorption and bioavailability of ribavirin.  Administration of a single oral dose of ribavirin following a high-fat meal delayed absorption (Tmax was doubled) but increased the mean peak plasma concentration (Cmax) and area under the concentration-time curve (AUC) by up to 70% compared to administration in the fasting state.,"To ensure maximal oral absorption, ribavirin should be administered with or immediately after a meal.",,
