drug_a_id,drug_a_name,drug_b_id,drug_b_name,severity,mechanisms,description,management,idx,references,url
DDInter100,Anthrax vaccine,DDInter233,Brigatinib,Moderate,Antagonism,"The administration of inactivated, killed, or otherwise noninfectious vaccines to immunosuppressed patients is generally safe but may be associated with a diminished or suboptimal immunologic response due to antibody inhibition. Such patients may include those who have recently received or are receiving immunosuppressive agents, antilymphocyte globulins, alkylating agents, antimetabolites, radiation, some antirheumatic agents, high dosages of corticosteroids or adrenocorticotropic agents, or long-term topical or inhaled corticosteroids.","In general, the US Department of Public Health Advisory Committee on Immunization Practices (ACIP) recommends that inactivated or killed vaccines be administered to non-HIV immunosuppressed patients according to the same guidelines as for healthy patients. For Haemophilus influenzae b vaccine, some experts recommend that it be administered at least 2 weeks before starting or 3 months after discontinuing chemotherapy when used in patients with Hodgkin's disease. For rabies vaccine, some authorities suggest that immunosuppressive agents should generally be avoided during postexposure therapy except when absolutely necessary for the treatment of other conditions.",26006,"[1] ""Product Information. Imovax Rabies (rabies vaccine)."" sanofi pasteur, Swiftwater, PA. | [2] Department of Health. National Health Service ""Immunisation Against Infectious Disease - ""The Green Book"". Chapter 6: Contraindications and special considerations. Available from: URL: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/655225/Greenbook_chap"" ([2017 Aug]): | [3] CDC. Centers for Disease Control and Prevention/ ""Recommendations of the advisory committtee on immunization practices (ACIP): use of vaccines and immune globulins in persons with altered immunocompetence."" MMWR Morb Mortal Wkly Rep 42(RR-04) (1993): 1-18 | [4] ""Product Information. Havrix (hepatitis A vaccine)."" SmithKline Beecham, Philadelphia, PA. | [5] ""Product Information. Fluzone Influenza Vaccine (influenza virus vaccine)."" Connaught, Swiftwater, PA. | [6] CDC Centers for Disease Control and Prevention ""General Best Practice Guidelines for Immunization: Altered Immunocompetence. Available from: URL: https://www.cdc.gov/vaccines/hcp/acip-recs/general-recs/immunocompetence.pdf."" ([2017, Apr 17]): | [7] ""Product Information. Biothrax (anthrax vaccine adsorbed)."" Emergent BioSolutions Inc., Lansing, MI. | [8] ""Product Information. Omnihib (haemophilus b conjugate vaccine)."" SmithKline Beecham, Philadelphia, PA. | [9] Cerner Multum, Inc. ""Australian Product Information."" O 0 | [10] ""Product Information. Influenza Virus Vaccine, H5N1, Inactivated (influenza virus vaccine, H5N1, inactivated)."" GlaxoSmithKline, Research Triangle Park, NC.",https://ddinter2.scbdd.com/server/interact/26006/
DDInter1000,Ivosidenib,DDInter182,Benzhydrocodone,Major,Metabolism,"Coadministration with inducers of CYP450 3A4 may decrease the plasma concentrations of opioids that are primarily metabolized by the isoenzyme such as butorphanol, fentanyl, hydrocodone, and oxycodone. Reduced efficacy or withdrawal symptoms may occur in patients maintained on their narcotic pain regimen following the addition of a CYP450 3A4 inducer. Conversely, discontinuation of the inducer may increase opioid plasma concentrations and potentiate the risk of overdose and fatal respiratory depression.","Pharmacologic response to the opioid should be monitored more closely whenever a CYP450 3A4 inducer is added to or withdrawn from therapy, and the opioid dosage adjusted as necessary.",41016,"[1] ""Product Information. Mycobutin (rifabutin)."" Pharmacia and Upjohn, Kalamazoo, MI. | [2] ""Product Information. Rifadin (rifampin)."" Hoechst Marion-Roussel Inc, Kansas City, MO. | [3] ""Product Information. OxyContin (oxycodone)."" Purdue Frederick Company, Norwalk, CT. | [4] ""Product Information. Ionsys (fentanyl)."" Ortho McNeil Pharmaceutical, Raritan, NJ. | [5] ""Product Information. Butorphanol Tartrate (butorphanol)."" Apotex Corporation, Weston, FL. | [6] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0 | [7] Cerner Multum, Inc. ""Australian Product Information."" O 0 | [8] ""Product Information. Duragesic Transdermal System (fentanyl)."" Janssen Pharmaceutica, Titusville, NJ. | [9] Canadian Pharmacists Association ""e-CPS. Available from: URL: http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink."" | [10] ""Product Information. Zohydro ER (HYDROcodone)."" Zogenix, Inc, San Diego, CA. | [11] ""Product Information. Olinvyk (oliceridine)."" Trevena Inc, Chesterbrook, PA. | [12] ""Product Information. Xermelo (telotristat ethyl)."" Lexicon Pharmaceuticals, Inc., The Woodlands, TX.",https://ddinter2.scbdd.com/server/interact/41016/
DDInter1000,Ivosidenib,DDInter1329,Oliceridine,Moderate,,"Ivosidenib can cause prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.","Coadministration of ivosidenib with other drugs that can prolong the QT interval should generally be avoided. Otherwise, close monitoring of electrocardiograms and electrolytes is recommended. If QT prolongation occurs during treatment, withhold and/or reduce dose in accordance with the product labeling. Ivosidenib should be permanently discontinued in patients who develop QT prolongation with signs or symptoms of life-threatening arrhythmia.",121646,"[1] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Cambridge, MA. | [2] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Cambridge, MA. | [3] ""Product Information. Fycompa (perampanel)."" Eisai Inc, Teaneck, NJ. | [4] Gilman AG, Rall TW, Nies AS, Taylor P, eds. ""Goodman and Gilman's the Pharmacological Basis of Therapeutics. 8th ed."" New York, NY: Pergamon Press Inc. (1990): | [5] Warrington SJ, Ankier SI, Turner P ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7 | [6] ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc, Rockville, MD.",https://ddinter2.scbdd.com/server/interact/121646/
DDInter1000,Ivosidenib,DDInter1658,Selpercatinib,Moderate,,"Ivosidenib can cause prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.","Coadministration of ivosidenib with other drugs that can prolong the QT interval should generally be avoided. Otherwise, close monitoring of electrocardiograms and electrolytes is recommended. If QT prolongation occurs during treatment, withhold and/or reduce dose in accordance with the product labeling. Ivosidenib should be permanently discontinued in patients who develop QT prolongation with signs or symptoms of life-threatening arrhythmia.",121701,"[1] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Cambridge, MA. | [2] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Cambridge, MA. | [3] ""Product Information. Fycompa (perampanel)."" Eisai Inc, Teaneck, NJ. | [4] Gilman AG, Rall TW, Nies AS, Taylor P, eds. ""Goodman and Gilman's the Pharmacological Basis of Therapeutics. 8th ed."" New York, NY: Pergamon Press Inc. (1990): | [5] Warrington SJ, Ankier SI, Turner P ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7 | [6] ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc, Rockville, MD.",https://ddinter2.scbdd.com/server/interact/121701/
DDInter1000,Ivosidenib,DDInter2037,Pacritinib,Moderate,,"Ivosidenib can cause prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.","Coadministration of ivosidenib with other drugs that can prolong the QT interval should generally be avoided. Otherwise, close monitoring of electrocardiograms and electrolytes is recommended. If QT prolongation occurs during treatment, withhold and/or reduce dose in accordance with the product labeling. Ivosidenib should be permanently discontinued in patients who develop QT prolongation with signs or symptoms of life-threatening arrhythmia.",244802,"[1] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Inc. (2018):",https://ddinter2.scbdd.com/server/interact/244802/
DDInter1000,Ivosidenib,DDInter2015,Mobocertinib,Moderate,,"Mobocertinib can cause concentration-dependent, life-threatening prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.","Avoid use of mobocertinib with concomitant drugs which are known to prolong the QT interval. If concomitant use is unavoidable, monitor the QTc interval more frequently with ECGs.",276675,"[1] ""Product Information. Exkivity (mobocertinib)."" Takeda Pharmaceuticals America (2021):",https://ddinter2.scbdd.com/server/interact/276675/
DDInter1000,Ivosidenib,DDInter2007,Levoketoconazole,Major,Metabolism,"Coadministration with levoketoconazole may significantly increase the plasma concentrations of drugs that are sensitive CYP450 3A4 substrates or combined CYP450 3A4 and P-glycoprotein (P-gp) substrates. Levoketoconazole is a strong inhibitor of the CYP450 3A4 isoenzyme and an inhibitor of the P-gp efflux transporter. Increased exposure to CYP450 3A4 or combined CYP450 3A4 and P-gp substrates that can prolong the QT interval may increase the risk of ventricular arrhythmias including torsade de pointes and sudden death. In addition, levoketoconazole itself can cause QT interval prolongation and may have additive effects with these agents.",Concomitant use of levoketoconazole with sensitive CYP450 3A4 substrates or combined CYP450 3A4 and P-gp substrates that can prolong the QT interval is considered contraindicated.,280398,"[1] ""Product Information. Recorlev (levoketoconazole)."" Xeris Pharmaceuticals Inc (2022): | [2] Auchus R, Pivonello R, Fleseriu M, et al. ""Levoketoconazole: a novel treatment for endogenous Cushing's syndrome. https://www.tandfonline.com/doi/pdf/10.1080/17446651.2021.1945440"" (2022):",https://ddinter2.scbdd.com/server/interact/280398/
DDInter1000,Ivosidenib,DDInter2012,Mibefradil,Major,Metabolism,"Coadministration with potent inhibitors of CYP450 3A4 may significantly increase the plasma concentrations of ivosidenib, which is primarily metabolized by the isoenzyme.","Concomitant use of ivosidenib with potent CYP450 3A4 inhibitors, particularly those that are also substrates of CYP450 3A4, should generally be avoided. If coadministration is required, a reduction of the ivosidenib dosage to 250 mg once daily is recommended. Following discontinuation of the potent inhibitor for at least 5 half-lives, ivosidenib therapy should be returned to the recommended dosage of 500 mg once daily. Monitoring of electrocardiograms and electrolytes should be conducted regularly.",280400,"[1] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Inc. (2018):",https://ddinter2.scbdd.com/server/interact/280400/
DDInter1000,Ivosidenib,DDInter2039,Ponesimod,Moderate,,"Due to its significant bradycardic effects, the risk of QT prolongation and torsade de pointes arrhythmia may be increased during initiation of ponesimod treatment in patients receiving drugs that prolong the QT interval.","Ponesimod has not been studied in patients receiving drugs that can prolong the QT interval. Because bradycardia and AV block are recognized risk factors for QT prolongation and torsade de pointes arrhythmia, treatment with ponesimod should generally not be initiated in patients who are concurrently treated with QT prolonging drugs with known arrhythmogenic properties. Advice from a cardiologist should be sought if treatment with ponesimod is considered in patients on concurrent therapy with QT prolonging drugs with a known risk of torsades de pointes or drugs that slow heart rate or AV conduction.",280403,"[1] ""Product Information. Ponvory (ponesimod)."" Janssen Pharmaceuticals (2021):",https://ddinter2.scbdd.com/server/interact/280403/
DDInter1000,Ivosidenib,DDInter2089,Voclosporin,Moderate,,"Ivosidenib can cause prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.","Coadministration of ivosidenib with other drugs that can prolong the QT interval should generally be avoided. Otherwise, close monitoring of electrocardiograms and electrolytes is recommended. If QT prolongation occurs during treatment, withhold and/or reduce dose in accordance with the product labeling. Ivosidenib should be permanently discontinued in patients who develop QT prolongation with signs or symptoms of life-threatening arrhythmia.",280407,"[1] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Inc. (2018):",https://ddinter2.scbdd.com/server/interact/280407/
DDInter1000,Ivosidenib,DDInter1089,Lopinavir,Moderate,,"Ivosidenib can cause prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.","Coadministration of ivosidenib with other drugs that can prolong the QT interval should generally be avoided. Otherwise, close monitoring of electrocardiograms and electrolytes is recommended. If QT prolongation occurs during treatment, withhold and/or reduce dose in accordance with the product labeling. Ivosidenib should be permanently discontinued in patients who develop QT prolongation with signs or symptoms of life-threatening arrhythmia.",288372,"[1] ""Product Information. Tibsovo (ivosidenib)."" Agios Pharmaceuticals, Inc. (2018):",https://ddinter2.scbdd.com/server/interact/288372/
DDInter1001,Ixabepilone,DDInter165,Baricitinib,Moderate,,"Coadministration of baricitinib with other immuno- or myelosuppressive agents may potentiate the risk of infections as well as lymphoma and other malignancies. The most common serious infections with baricitinib treatment include pneumonia, herpes zoster, and urinary tract infection. Opportunistic infections include tuberculosis, multidermatomal herpes zoster, esophageal candidiasis, pneumocystosis, acute histoplasmosis, cryptococcosis, cytomegalovirus, and BK virus. Lymphoma and other malignancies have also been observed with baricitinib use, with or without concomitant immunosuppressants.","Close monitoring for the development of infection is recommended if baricitinib is used in combination with other immuno- or myelosuppressive agents, including the possible development of tuberculosis in patients who tested negative for latent tuberculosis infection prior to initiating therapy. Lymphocyte and neutrophil counts as well as hemoglobin should be evaluated at baseline and regularly during therapy, and baricitinib dosage adjusted as necessary in accordance with the product labeling. Patients should be advised to contact their physician if they develop signs and symptoms of infection such as fever, chills, diarrhea, sore throat, muscle aches, shortness of breath, blood in phlegm, weight loss, red or inflamed skin, body sores, and pain or burning during urination. If a serious infection, an opportunistic infection, or sepsis develops, baricitinib should be interrupted until the infection is controlled.",38786,"[1] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0 | [2] Cerner Multum, Inc. ""Australian Product Information."" O 0 | [3] ""Product Information. Olumiant (baricitinib)."" Lilly, Eli and Company, Indianapolis, IN. | [4] ""Product Information. Lonsurf (tipiracil-trifluridine)."" Taiho Oncology, Inc., Princeton, NJ.",https://ddinter2.scbdd.com/server/interact/38786/
DDInter1001,Ixabepilone,DDInter342,Certolizumab pegol,Moderate,,"The use of tumor necrosis factor (TNF) blockers with other immunosuppressive or myelosuppressive agents may increase the risk of infections. Serious infections and sepsis, including fatalities, have been reported with the use of TNF blockers, particularly in patients on concomitant immunosuppressive therapy. Agents that may be significantly myelo- or immunosuppressive include antineoplastic agents, radiation, zidovudine, linezolid, some antirheumatic agents, high dosages of corticosteroids or adrenocorticotropic agents, and long-term topical or inhaled corticosteroids. Concomitant use of TNF blockers with other immunosuppressants such as azathioprine or mercaptopurine may also increase the risk of a rare and often fatal cancer of white blood cells known as hepatosplenic T-Cell lymphoma (HSTCL).","Patients receiving a TNF blocker alone or with other immunosuppressive or myelosuppressive agents should be monitored closely for the development of infections. TNF blocker therapy should be discontinued if a serious infection or sepsis occurs. Close monitoring for signs and symptoms of HSTCL (e.g., splenomegaly, hepatomegaly, abdominal pain, persistent fever, night sweats, weight loss) is also recommended during use of TNF blockers, particularly in combination with other immunosuppressants such as azathioprine and mercaptopurine.",61649,"[1] FDA. U.S. Food and Drug Administration ""FDA Drug Safety Communication: Drug labels for the Tumor Necrosis Factor-alpha (TNFa) blockers now include warnings about infection with Legionella and Listeria bacteria. Available from: URL: http://www.fda.gov/Drugs/DrugSafety/ucm270849.htm."" ([2011 Sept 7]): | [2] ""Product Information. Cimzia (certolizumab)."" UCB Pharma Inc, Smyrna, GA. | [3] ""Product Information. Simponi (golimumab)."" Centocor Inc, Malvern, PA. | [4] ""Product Information. Enbrel (etanercept)."" Wyeth-Ayerst Laboratories, Philadelphia, PA. | [5] ""Product Information. Remicade (infliximab)."" Centocor Inc, Malvern, PA. | [6] ""Product Information. Humira (adalimumab)."" Abbott Pharmaceutical, Abbott Park, IL.",https://ddinter2.scbdd.com/server/interact/61649/
DDInter1001,Ixabepilone,DDInter489,Deferiprone,Moderate,,"Coadministration of deferiprone and other drugs that can cause neutropenia or agranulocytosis may increase the risk and/or severity of hematologic toxicity. Deferiprone alone can cause agranulocytosis, which may be preceded by neutropenia.","Concomitant use of deferiprone with other drugs known to be associated with neutropenia or agranulocytosis should generally be avoided. Otherwise, close monitoring of absolute neutrophil count (ANC) is recommended if coadministration is required.",81856,"[1] ""Product Information. Ferriprox (deferiprone)."" ApoPharma USA Inc, Rockville, MD. | [2] Cerner Multum, Inc. ""Australian Product Information."" O 0 | [3] EMEA. European Medicines Agency ""EPARs. European Union Public Assessment Reports. Available from: URL: http://www.ema.europa.eu/ema/index.jsp?curl=pages/includes/medicines/medicines_landingpage.jsp&mid."" | [4] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0 | [5] ""Product Information. Lonsurf (tipiracil-trifluridine)."" Taiho Oncology, Inc., Princeton, NJ.",https://ddinter2.scbdd.com/server/interact/81856/
DDInter1001,Ixabepilone,DDInter1127,Measles virus vaccine live attenuated,Major,Others,"The administration of live, attenuated viral or bacterial vaccines during immunosuppressant or intense antineoplastic therapy may be associated with a risk of disseminated infection due to enhanced replication of vaccine virus or bacteria in the presence of diminished immune competence. Patients may be immunosuppressed if they have recently received or are receiving alkylating agents, antimetabolites, radiation, some antirheumatic agents, high dosages of corticosteroids or adrenocorticotropic agents, or long-term topical or inhaled corticosteroids. These patients may also have increased adverse reactions and decreased or suboptimal immunologic response to vaccines.","In general, live attenuated vaccines should not be used in patients receiving immunosuppressive therapy or cancer chemotherapy. Vaccination should be deferred until after such therapy is discontinued and immune function has been restored, usually 4 to 12 weeks after stopping immunosuppressive therapy. A longer waiting period may be necessary following treatment with agents that have a prolonged elimination half-life (e.g., leflunomide, teriflunomide). Current local immunization guidelines should be consulted for recommendations.",102048,"[1] Fauci AS, Braunwald E, Isselbacher KJ, Wilson JD, Martin JB, Kasper DL, Hauser SL, Longo DL, eds. ""Harrison's Principles of Internal Medicine. 14th ed."" New York, NY: McGraw-Hill Health Professionals Division (1998): | [2] ""Product Information. YF-Vax (yellow fever vaccine)."" sanofi pasteur, Swiftwater, PA. | [3] ""Product Information. Attenuvax (measles virus vaccine, live, attenuated)."" Merck & Co, Inc, West Point, PA. | [4] Kriner P, Lopez K, Leung J, Harpaz R, Bialek SR ""Notes from the field: varicella-associated death of a vaccinated child with leukemia - California, 2012."" MMWR Morb Mortal Wkly Rep 63 (2014): 161 | [5] ""Product Information. M-M-R II (measles/mumps/rubella virus vaccine)."" Merck & Company Inc, West Point, PA. | [6] Charkoudian LD, Kaiser GM, Steinmetz RL, Srivastava SK ""Acute retinal necrosis after herpes zoster vaccination."" Arch Ophthalmol 129 (2011): 1495-7 | [7] CDC. Centers for Disease Control and Prevention/ ""Recommendations of the advisory committtee on immunization practices (ACIP): use of vaccines and immune globulins in persons with altered immunocompetence."" MMWR Morb Mortal Wkly Rep 42(RR-04) (1993): 1-18 | [8] ""Product Information. Meruvax II (rubella virus vaccine, live)."" Merck & Co, Inc, West Point, PA. | [9] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0",https://ddinter2.scbdd.com/server/interact/102048/
DDInter1001,Ixabepilone,DDInter1623,Rotavirus vaccine,Major,Others,"The administration of live, attenuated viral or bacterial vaccines during immunosuppressant or intense antineoplastic therapy may be associated with a risk of disseminated infection due to enhanced replication of vaccine virus or bacteria in the presence of diminished immune competence. Patients may be immunosuppressed if they have recently received or are receiving alkylating agents, antimetabolites, radiation, some antirheumatic agents, high dosages of corticosteroids or adrenocorticotropic agents, or long-term topical or inhaled corticosteroids. These patients may also have increased adverse reactions and decreased or suboptimal immunologic response to vaccines.","In general, live attenuated vaccines should not be used in patients receiving immunosuppressive therapy or cancer chemotherapy. Vaccination should be deferred until after such therapy is discontinued and immune function has been restored, usually 4 to 12 weeks after stopping immunosuppressive therapy. A longer waiting period may be necessary following treatment with agents that have a prolonged elimination half-life (e.g., leflunomide, teriflunomide). Current local immunization guidelines should be consulted for recommendations.",110692,"[1] Fauci AS, Braunwald E, Isselbacher KJ, Wilson JD, Martin JB, Kasper DL, Hauser SL, Longo DL, eds. ""Harrison's Principles of Internal Medicine. 14th ed."" New York, NY: McGraw-Hill Health Professionals Division (1998): | [2] ""Product Information. YF-Vax (yellow fever vaccine)."" sanofi pasteur, Swiftwater, PA. | [3] ""Product Information. Attenuvax (measles virus vaccine, live, attenuated)."" Merck & Co, Inc, West Point, PA. | [4] Kriner P, Lopez K, Leung J, Harpaz R, Bialek SR ""Notes from the field: varicella-associated death of a vaccinated child with leukemia - California, 2012."" MMWR Morb Mortal Wkly Rep 63 (2014): 161 | [5] ""Product Information. M-M-R II (measles/mumps/rubella virus vaccine)."" Merck & Company Inc, West Point, PA. | [6] Charkoudian LD, Kaiser GM, Steinmetz RL, Srivastava SK ""Acute retinal necrosis after herpes zoster vaccination."" Arch Ophthalmol 129 (2011): 1495-7 | [7] CDC. Centers for Disease Control and Prevention/ ""Recommendations of the advisory committtee on immunization practices (ACIP): use of vaccines and immune globulins in persons with altered immunocompetence."" MMWR Morb Mortal Wkly Rep 42(RR-04) (1993): 1-18 | [8] ""Product Information. Meruvax II (rubella virus vaccine, live)."" Merck & Co, Inc, West Point, PA. | [9] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0",https://ddinter2.scbdd.com/server/interact/110692/
DDInter1001,Ixabepilone,DDInter160,Bacillus calmette-guerin substrain tice live antigen,Major,Others,"The administration of live, attenuated viral or bacterial vaccines during immunosuppressant or intense antineoplastic therapy may be associated with a risk of disseminated infection due to enhanced replication of vaccine virus or bacteria in the presence of diminished immune competence. Patients may be immunosuppressed if they have recently received or are receiving alkylating agents, antimetabolites, radiation, some antirheumatic agents, high dosages of corticosteroids or adrenocorticotropic agents, or long-term topical or inhaled corticosteroids. These patients may also have increased adverse reactions and decreased or suboptimal immunologic response to vaccines.","In general, live attenuated vaccines should not be used in patients receiving immunosuppressive therapy or cancer chemotherapy. Vaccination should be deferred until after such therapy is discontinued and immune function has been restored, usually 4 to 12 weeks after stopping immunosuppressive therapy. A longer waiting period may be necessary following treatment with agents that have a prolonged elimination half-life (e.g., leflunomide, teriflunomide). Current local immunization guidelines should be consulted for recommendations.",121767,"[1] Fauci AS, Braunwald E, Isselbacher KJ, Wilson JD, Martin JB, Kasper DL, Hauser SL, Longo DL, eds. ""Harrison's Principles of Internal Medicine. 14th ed."" New York, NY: McGraw-Hill Health Professionals Division (1998): | [2] ""Product Information. YF-Vax (yellow fever vaccine)."" sanofi pasteur, Swiftwater, PA. | [3] ""Product Information. Attenuvax (measles virus vaccine, live, attenuated)."" Merck & Co, Inc, West Point, PA. | [4] Kriner P, Lopez K, Leung J, Harpaz R, Bialek SR ""Notes from the field: varicella-associated death of a vaccinated child with leukemia - California, 2012."" MMWR Morb Mortal Wkly Rep 63 (2014): 161 | [5] ""Product Information. M-M-R II (measles/mumps/rubella virus vaccine)."" Merck & Company Inc, West Point, PA. | [6] Charkoudian LD, Kaiser GM, Steinmetz RL, Srivastava SK ""Acute retinal necrosis after herpes zoster vaccination."" Arch Ophthalmol 129 (2011): 1495-7 | [7] CDC. Centers for Disease Control and Prevention/ ""Recommendations of the advisory committtee on immunization practices (ACIP): use of vaccines and immune globulins in persons with altered immunocompetence."" MMWR Morb Mortal Wkly Rep 42(RR-04) (1993): 1-18 | [8] ""Product Information. Meruvax II (rubella virus vaccine, live)."" Merck & Co, Inc, West Point, PA. | [9] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0",https://ddinter2.scbdd.com/server/interact/121767/
DDInter1001,Ixabepilone,DDInter193,Berotralstat,Major,Metabolism,"Coadministration of berotralstat with drugs that are both inhibitors of the efflux transporters P-glycoprotein (P-gp) and/or breast cancer resistance protein (BCRP) as well as substrates of the isoenzyme CYP450 3A4 may lead to an increase in the plasma concentrations and effects of both drugs. Berotralstat is a substrate of both P-gp and BCRP. Increased plasma concentrations of berotralstat may increase the risk of adverse effects, including the potential for QT prolongation. Berotralstat may cause concentration-dependent prolongation of the Fridericia-corrected QT interval (QTcF). In addition, berotralstat is considered a moderate CYP450 3A4 inhibitor and has been reported in drug interaction studies to increase the peak plasma concentration (Cmax) and systemic exposure (AUC) of sensitive CYP450 3A4 substrate midazolam by approximately 1.5-fold and 2.25-fold, respectively.","The dosage of berotralstat should be reduced to 110 mg once daily in patients requiring chronic coadministration with drugs that are both inhibitors of P-gp or BCRP as well as substrates of CYP450 3A4, such as cyclosporine. Patients should be advised to contact their physician if they experience any undue adverse effects from their medications. Patients should seek prompt medical attention if they experience symptoms that could indicated the occurrence of torsade de pointes such as dizziness, lightheadedness, fainting, palpitations, irregular heartbeat, shortness of breath, or syncope.",121769,"[1] ""Product Information. Orladeyo (berotralstat)."" BioCryst Pharmaceuticals Inc, Durham, NC. | [2] ""Product Information. Intelence (etravirine)."" Ortho Biotech Inc, Bridgewater, NJ.",https://ddinter2.scbdd.com/server/interact/121769/
DDInter1001,Ixabepilone,DDInter737,Fingolimod,Moderate,,"Coadministration of fingolimod with antineoplastic, immunosuppressive, or other immune-modulating therapies may increase the risk of infections. Fingolimod causes reversible sequestration of lymphocytes in lymphoid tissues.","The safety and efficacy of fingolimod in combination with antineoplastic, immunosuppressive, or immune-modulating agents have not been evaluated. Caution is advised during coadministration. A complete blood count is recommended prior to starting fingolimod if a recent one (i.e., within last 6 months) is not available.",121793,"[1] ""Product Information. Gilenya (fingolimod)."" Novartis Pharmaceuticals, East Hanover, NJ.",https://ddinter2.scbdd.com/server/interact/121793/
DDInter1001,Ixabepilone,DDInter837,Golimumab,Moderate,,"The use of tumor necrosis factor (TNF) blockers with other immunosuppressive or myelosuppressive agents may increase the risk of infections. Serious infections and sepsis, including fatalities, have been reported with the use of TNF blockers, particularly in patients on concomitant immunosuppressive therapy. Agents that may be significantly myelo- or immunosuppressive include antineoplastic agents, radiation, zidovudine, linezolid, some antirheumatic agents, high dosages of corticosteroids or adrenocorticotropic agents, and long-term topical or inhaled corticosteroids. Concomitant use of TNF blockers with other immunosuppressants such as azathioprine or mercaptopurine may also increase the risk of a rare and often fatal cancer of white blood cells known as hepatosplenic T-Cell lymphoma (HSTCL).","Patients receiving a TNF blocker alone or with other immunosuppressive or myelosuppressive agents should be monitored closely for the development of infections. TNF blocker therapy should be discontinued if a serious infection or sepsis occurs. Close monitoring for signs and symptoms of HSTCL (e.g., splenomegaly, hepatomegaly, abdominal pain, persistent fever, night sweats, weight loss) is also recommended during use of TNF blockers, particularly in combination with other immunosuppressants such as azathioprine and mercaptopurine.",121804,"[1] FDA. U.S. Food and Drug Administration ""FDA Drug Safety Communication: Drug labels for the Tumor Necrosis Factor-alpha (TNFa) blockers now include warnings about infection with Legionella and Listeria bacteria. Available from: URL: http://www.fda.gov/Drugs/DrugSafety/ucm270849.htm."" ([2011 Sept 7]): | [2] ""Product Information. Cimzia (certolizumab)."" UCB Pharma Inc, Smyrna, GA. | [3] ""Product Information. Simponi (golimumab)."" Centocor Inc, Malvern, PA. | [4] ""Product Information. Enbrel (etanercept)."" Wyeth-Ayerst Laboratories, Philadelphia, PA. | [5] ""Product Information. Remicade (infliximab)."" Centocor Inc, Malvern, PA. | [6] ""Product Information. Humira (adalimumab)."" Abbott Pharmaceutical, Abbott Park, IL.",https://ddinter2.scbdd.com/server/interact/121804/
